三效液相温度,三效气相温度,三效蒸发室气相压力,出料泵电流1,出料泵电流2,出料流量
51.412502,47.182503,-80.32,11.0412,0.0207,1.0
51.209999,47.130001,-80.440002,11.0898,0.0207,1.0
51.037498,47.047501,-80.5,11.1096,0.0207,1.0
50.895,46.935001,-80.410004,11.1051,0.0207,1.0
50.849998,46.754997,-80.559998,11.0844,0.0207,1.0
51.689999,46.695,-79.599998,11.018701,0.0207,1.0
52.4025,46.965,-79.800003,11.1042,0.0207,1.0
52.920002,47.370003,-79.669998,11.0547,0.0207,1.0
52.410004,47.872501,-79.910004,11.0727,0.0207,1.0
52.02,47.910004,-80.169998,11.052,0.0207,1.0
51.502499,47.82,-80.380005,11.0754,0.0207,1.0
51.337498,47.699997,-80.470001,11.0421,0.0207,1.0
51.232498,47.587502,-80.510002,11.0907,0.0207,1.0
50.962498,47.482498,-80.57,11.1447,0.0207,1.0
50.977501,47.310001,-80.75,11.052899,0.0207,1.0
50.895,47.324997,-80.879997,11.1105,0.0207,1.0
50.7075,47.34,-80.910004,11.130301,0.0207,1.0
50.805,47.422501,-80.940002,11.1276,0.0207,1.0
50.6175,47.489998,-80.879997,11.1168,0.0207,1.0
50.677502,47.467499,-80.919998,11.1195,0.0207,1.0
50.692497,47.422501,-80.940002,11.1276,0.0207,1.0
50.700001,47.362499,-80.900002,11.1249,0.0207,1.0
50.767502,47.355,-80.860001,11.1447,0.0207,1.0
50.504997,47.3325,-80.910004,11.088,0.0207,1.0
50.647499,47.272499,-80.910004,11.0898,0.0207,1.0
50.932499,47.2425,-80.769997,11.1438,0.0207,1.0
51.090004,47.189999,-80.779999,11.1546,0.0207,1.0
50.932499,47.182503,-80.760002,11.126699,0.0207,1.0
51.052502,47.137497,-80.729996,11.1312,0.0207,1.0
50.925003,47.07,-80.75,11.132999,0.0207,1.0
51.007504,46.927498,-80.779999,11.052,0.0207,1.0
50.895,46.814999,-80.769997,11.0979,0.0207,1.0
50.932499,46.732498,-80.779999,11.1285,0.0207,1.0
50.782501,46.672501,-80.849998,11.1312,0.0207,1.0
50.805,46.627499,-80.839996,11.1042,0.0207,1.0
50.857498,46.5825,-80.830002,11.1636,0.0207,1.0
52.275002,47.009998,-80.07,11.120399,0.0207,1.0
52.3125,47.512497,-80.139999,11.033999,0.0207,1.0
51.607498,47.580002,-80.370003,11.0889,0.0207,1.0
51.247501,47.25,-80.739998,11.0709,0.0207,1.0
51.090004,47.040001,-80.760002,11.0997,0.0207,1.0
51.165001,46.9575,-80.779999,11.0259,0.0207,1.0
50.857498,46.807503,-80.800003,11.1042,0.0207,1.0
50.872501,46.754997,-80.699997,11.0349,0.0207,1.0
50.984997,46.732498,-80.760002,11.0799,0.0207,1.0
50.947502,46.695,-80.809998,11.1861,0.0207,1.0
51.135002,46.695,-80.660004,11.0799,0.0207,1.0
51.404999,46.747501,-80.520004,11.1123,0.0207,1.0
51.4725,46.845001,-80.489998,11.1483,0.0207,1.0
51.450001,46.935001,-80.540001,11.0502,0.0207,1.0
51.577499,46.995003,-80.510002,11.0358,0.0207,1.0
51.697498,47.07,-80.479996,11.1051,0.0207,1.0
51.547501,47.16,-80.529999,11.0772,0.0207,1.0
51.4725,47.137497,-80.599998,11.0718,0.0207,1.0
51.195,47.07,-80.619995,11.0817,0.0207,1.0
51.090004,47.040001,-80.729996,11.1114,0.0207,1.0
51.007504,46.965,-80.660004,11.1429,0.0207,1.0
